word,Survey_Rank,UUR,UTR,Log_ranking
blue,1,4,6,5
body,2,20,20,43
boy,3,2,2,8
car,4,23,23,30
class,5.5,28,29,19
college,5.5,14,14,15
cool,8,21,21,32
day,8,7,7,3
degree,8,16,16,34
development,10,15,15,41
film,11,18,18,12
friend,12,17,17,36
gift,13,39,39,18
god,14,38,38,9
group,15.5,34,33,33
guy,15.5,3,3,25
house,17,13,12,31
interview,18,32,32,39
job,19,6,5,26
luck,20,11,13,4
lyrics,21.5,26,27,1
matter,21.5,1,1,35
moment,23,27,26,57
money,24,8,8,48
month,25,29,28,24
parliament,26.5,5,4,10
people,26.5,47,47,38
performance,28,33,34,53
petrol,29,12,11,49
play,30,56,56,13
politics,31,10,10,52
president,32,24,24,14
press,33,9,9,42
question,34,43,43,21
reason,35,41,41,23
request,36.5,44,44,17
rest,36.5,52,52,2
review,38,25,25,16
road,41,30,30,46
room,41,54,54,45
scene,41,45,45,51
school,41,19,19,6
seat,41,57,57,7
service,44,46,46,56
share,45,35,35,40
star,46,50,50,50
status,47,48,48,44
superstar,48.5,53,53,37
thing,48.5,49,49,22
traffic,50.5,36,36,11
uncle,50.5,42,42,54
university,52,31,31,29
way,53,22,22,47
week,54,55,55,55
well,55.5,51,51,28
woman,55.5,40,40,20
wrong,57,37,37,27